num,name,smiles
161,ChemBL,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N([C@@H](C1)C(O)=O)[C@@H]2[C@@H]1CCCC2)=O)=O
162,ChemBL,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N([C@@H](C1)C(O)=O)[C@@H]2[C@H]1CCCC2)=O)=O
163,ChemBL,OC([C@H](C[C@H](C1)C2CCCCC2)N1C(CP(CCCCc1ccccc1)(O)=O)=O)=O
164,ChemBL,Cc1cccc(C)c1NC(C(CC1)(CCN1C(CCCC1)C1O)N(C)C)=O
165,ChemBL,CN(CC[C@@]1(C[C@@H](CC2)O)c3c(C4)ccc(OC)c3OC)[C@H]4[C@@]12O
166,ChemBL,O[C@@](CCCC1)([C@H](C2)N(CC3CCC3)CC3)[C@@]13c1c2ccc(O)c1
167,ChemBL,CCCOCCOC(C(C1c2cccc([N+]([O-])=O)c2)=C(C)NC(C)=C1C(OCCOCCC)=O)=O
168,ChemBL,CC(C)[C@@H]([C@](CCN(C)CCCc1nc(cccc2)c2[nH]1)(CC1)OC(COC)=O)c(cc2)c1cc2F
169,ChemBL,CN(C)CCN(C)C1COc(cccc2)c2-c2c(C3CCCCC3)c(ccc(C(O)=O)c3)c3n2C1
170,ChemBL,CCCCCCCCCCOc(cc(c(nc1)c2)c(O)c1C(OCC)=O)c2OCC
171,ChemBL,CCOC(C[N+](C)(CC1)C[C@@H]1OC([C@@](C1CCCC1)(c1ccccc1)O)=O)=O
172,ChemBL,CCCCCOc1cccc(NC(OC(CCCC2)C2N2CCCC2)=O)c1
173,ChemBL,CC(C)N(CCC(CCN1CCCCC1)(C(N)=O)c(cccc1)c1Cl)C(C)C
174,ChemBL,CC(C1(CCN(CCc(cccc2)c2Cl)CC1)O)C(N(C)C1CCCCC1)=O
175,ChemBL,CN(CC1CCC2)CC2C1OC(C(C1CCCC1)(c1ccccc1)O)=O
176,ChemBL,CCCCCC(CCC(C)([C@H](C1)N(C)CC2)[C@@]2(C)c2c1ccc(O)c2)=O
177,ChemBL,CC(C)CCC(CCC(C)([C@H](C1)N(C)CC2)[C@@]2(C)c2c1ccc(O)c2)=O
178,ChemBL,C(CC1)CCC1C(C1CCCCC1)=CC1NCCCC1
179,ChemBL,CCCc(cc1)cc(OC)c1OCC(N(CC1)CCN1C(COc(ccc(CCC)c1)c1OC)=O)=O
180,ChemBL,CN(CCCN(CCc(cc1OC)c(C2)cc1OC)C2=O)CCc(cc1)cc(OC)c1OC
181,ChemBL,CCC(C(OCCN1CCN(CCOC(C(CC)c2ccccc2)=O)CC1)=O)c1ccccc1
182,ChemBL,CCN(CCCC(N(CC1)CCC1C(N(C)C)=O)=O)[C@@H](C)Cc(cc1)ccc1OC
183,ChemBL,CCN(CC)CCOc(c(OCCN(CC)CC)c1)cc(C(C)=C2)c1OC2=O
184,ChemBL,CC1N(CCCOC(c(cc2)ccc2OC2CCCCC2)=O)CCCC1
185,ChemBL,CC[N+](C)(CC)CCOC(C1[N+](C)(C)C(C)CCC1)=O
186,ChemBL,CCC(C)(C)c(cc1)ccc1OCCCCCCN(CC1)CCN1c1cc(Cl)c(C)cc1
187,ChemBL,CC(C)(CCC1(C)C)c(cc2)c1cc2/C(/C)=C/c(cc1)ccc1OCCN1CCOCC1
188,ChemBL,CC(C)(C1)N(C)C(C)(C)CC1OCCCN(C)C
189,ChemBL,CC([C@@](C[C@@H]1O[C@@H](C[C@@H]2O)OC[C@H]2O)(Cc(c(O)c2C(c3c4cccc3)=O)c1c(O)c2C4=O)N)=O
190,ChemBL,CCOC(CN[C@H](C1CCCCC1)C(N(CC1)[C@@H]1C(NCc(cc1)ccc1/C(/N)=N\O)=O)=O)=O
191,ChemBL,CCOC(c(cc1)ccc1OCCN(C[C@@H]([C@H]1O)O)[C@H](CO)[C@H]1O)=O
192,ChemBL,CC(C)[C@@H](C(N(CC1)CC(C)(C)[C@@]1(c(cc1)ccc1Cl)O)=O)NC(NCC(C)(C)O)=O
193,ChemBL,CC(C)(CC(C1(C)C)C(NC(CO)C(CO)O)=O)N1O
194,ChemBL,CC(COc(ccc(OCC(CNCCc(cc1)cc(OC)c1OC)O)c1CC2)c1NC2=O)=O
195,ChemBL,C[C@H](Cc1cc(C(N)=O)c2N(CCCO)CCc2c1)NCCOc(cccc1)c1OCC(F)(F)F
196,ChemBL,CCC[C@@H](C(O)=O)N[C@@H](C)C(N([C@@H](C1)C(O)=O)[C@@H]2[C@H]1CCCC2)=O
197,ChemBL,C[N@+](CC1CC1)(CC[C@@]1(CC(CC2)=O)c(c(C3)ccc4C(N)=O)c4O)[C@H]3[C@@]12O
198,ChemBL,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N(Cc(cc1OC)c(C2)cc1OC)[C@@H]2C(O)=O)=O)=O
199,ChemBL,CC1(C([O-])=O)N=C(c(cccc2OCCOCCOCCOC)c2O)SC1.[OH-].[Mg+2]
200,ChemBL,C[C@@]1(C(O)=O)N=C(c(cccc2OCCOCCOCCOC)c2O)SC1
201,ChemBL,CCOC([C@H](CCc1ccccc1)N[C@@H](C)C(N([C@@H](CCC1)[C@@H]1C1)[C@@H]1C(O)=O)=O)=O
202,ChemBL,C[C@H](CSC([C@@H](C)NC(C1CCCCC1)=O)=O)C(N(CCC1)[C@@H]1C(O)=O)=O
203,ChemBL,CCCN(CC(C1)NS(N(CC)CC)(=O)=O)C(C2)C1Cc1c2cccc1O
204,ChemBL,CC(CCCc1ccccc1)Oc1cc(OC(C)=O)c([C@H](C[C@@H](CC2)O)[C@@H]2[C@H](C)N2)c2c1
205,ChemBL,C[C@H](CCCc1ccccc1)Oc1cc(OC(C)=O)c([C@H](C[C@@H](CC2)O)[C@@H]2[C@H](C)N2)c2c1
206,ChemBL,CC(C)(C)NCC(COc(cccc1)c1OCC1OCCC1)O
207,ChemBL,N#CC(CCC1)N1C(CNC(CC(C1)C2)(CC1C1)CC12O)=O
208,ChemBL,CC(C)(C)c1ccc(C(CCCN(CC2)CCC2C(c2ccccc2)(c2ccccc2)O)O)cc1
209,ChemBL,C[C@](CC1)([C@@](C)(CC2)[C@@H]1[C@H](CC1)[C@H]2[C@@](C)(C2)C1=Cc1c2cn[nH]1)O
210,ChemBL,CCC1(C(C)(C)C(C2)N(CC3(CC3)O)CC1)c1c2ccc(O)c1
211,ChemBL,O[C@](CCCC1)([C@@H](C2)N(CC3CC3)CC3)[C@]13c1c2ccc(O)c1
212,ChemBL,CCOC(C(C1c2c(/C=C/C(OC(C)(C)C)=O)cccc2)=C(C)NC(CN(C)C)=C1C(OCC)=O)=O
213,ChemBL,CC(CC(C)(C)N(C)C)NC(C(Cc(cc1OC)c2cc1OC)OS2(=O)=O)=O
214,ChemBL,COC(N(CCC1)[C@@H](CO[C@H](CC2)CC[C@H]2c2ccccc2)[C@H]1NS(C)(=O)=O)=O
215,ChemBL,CCc(cc1)ccc1N(CC(C)C)S(c(cc1)cc(CO)c1OCC1CCOCC1)(=O)=O
216,ChemBL,COCCC(N[C@H]1CC[C@H](CCN(CC2)CCN2c2cc(C#N)ccc2)CC1)=O
217,ChemBL,CCOC(C(CC1)(CC2)CCC12NCC(N(C[C@H](C1)F)[C@@H]1C#N)=O)=O
218,ChemBL,CCCCCCCCCC1(C)OC(COC(N)=O)CO1
